Order ID,Order Date,Customer ID,Country,Region,Category,Sub-Category,Sales,Quantity,Profit,lat,lon
ORD-00131,2023-01-17,CUS-0291,France,Europe,Groceries,Snacks,85.04,4,19.21,46.23,2.21
ORD-00132,2024-02-07,CUS-0042,Japan,APAC,Fashion,Bag,28.56,1,0.06,36.2,138.25
ORD-00133,2023-09-09,CUS-0196,South Africa,Africa,Electronics,Phone,2681.36,4,123.21,-30.56,22.94
ORD-00134,2023-08-30,CUS-0259,Vietnam,APAC,Home & Furniture,Table,502.5,5,-10.61,14.06,108.28
ORD-00135,2023-01-01,CUS-0287,Vietnam,APAC,Groceries,Snacks,20.0,4,6.83,14.06,108.28
ORD-00136,2024-05-23,CUS-0003,Nigeria,Africa,Fashion,Shoes,157.44,2,40.08,9.08,8.68
ORD-00137,2023-10-03,CUS-0288,France,Europe,Electronics,Phone,1371.2,5,76.57,46.23,2.21
ORD-00138,2024-05-28,CUS-0249,United States,North America,Electronics,Phone,166.62,3,42.29,37.09,-95.71
ORD-00139,2025-03-12,CUS-0143,South Africa,Africa,Home & Furniture,Storage,615.42,3,157.25,-30.56,22.94
ORD-00140,2025-08-09,CUS-0014,France,Europe,Electronics,Headphone,512.5,2,138.43,46.23,2.21
ORD-00141,2024-07-28,CUS-0281,Japan,APAC,Electronics,Laptop,445.91,1,89.11,36.2,138.25
ORD-00142,2023-04-24,CUS-0392,United Kingdom,Europe,Electronics,Laptop,1555.96,4,62.73,55.38,-3.44
ORD-00143,2024-05-05,CUS-0334,Japan,APAC,Fashion,Shoes,142.55,5,35.83,36.2,138.25
ORD-00144,2024-03-31,CUS-0266,Canada,North America,Electronics,Laptop,619.89,1,-22.31,56.13,-106.35
ORD-00145,2024-09-04,CUS-0329,France,Europe,Fashion,Shoes,169.64,4,6.41,46.23,2.21
ORD-00146,2024-10-29,CUS-0308,Singapore,APAC,Fashion,Accessories,228.51,3,14.97,1.35,103.82
ORD-00147,2023-04-29,CUS-0092,South Africa,Africa,Home & Furniture,Table,1160.85,5,281.08,-30.56,22.94
ORD-00148,2023-07-18,CUS-0314,Germany,Europe,Fashion,Bag,240.75,5,79.88,51.17,10.45
ORD-00149,2023-04-20,CUS-0164,Germany,Europe,Electronics,Headphone,1551.54,3,107.29,51.17,10.45
ORD-00150,2023-09-26,CUS-0042,Japan,APAC,Electronics,Laptop,441.34,2,140.63,36.2,138.25
ORD-00151,2024-06-14,CUS-0232,Vietnam,APAC,Electronics,Camera,1215.36,3,-63.73,14.06,108.28
ORD-00152,2023-03-13,CUS-0087,Singapore,APAC,Electronics,Camera,327.23,1,108.13,1.35,103.82
ORD-00153,2024-12-04,CUS-0277,Mexico,LATAM,Fashion,Shoes,170.8,5,33.67,23.63,-102.55
ORD-00154,2025-04-09,CUS-0352,France,Europe,Fashion,Accessories,39.65,1,13.45,46.23,2.21
ORD-00155,2025-04-18,CUS-0049,Japan,APAC,Fashion,Shoes,123.78,3,42.21,36.2,138.25
ORD-00156,2023-02-15,CUS-0374,Vietnam,APAC,Electronics,Phone,467.42,1,148.47,14.06,108.28
ORD-00157,2023-06-26,CUS-0183,Brazil,LATAM,Electronics,Phone,1301.07,3,389.17,-14.24,-51.93
ORD-00158,2024-05-13,CUS-0376,Vietnam,APAC,Electronics,Headphone,1711.85,5,410.45,14.06,108.28
ORD-00159,2023-11-06,CUS-0149,Japan,APAC,Home & Furniture,Storage,401.16,4,-32.32,36.2,138.25
ORD-00160,2024-10-25,CUS-0258,Mexico,LATAM,Electronics,Phone,2469.1,5,212.43,23.63,-102.55
ORD-00161,2024-08-05,CUS-0189,South Africa,Africa,Electronics,Camera,742.84,2,112.26,-30.56,22.94
ORD-00162,2024-05-15,CUS-0072,Vietnam,APAC,Electronics,Camera,997.05,3,-15.34,14.06,108.28
ORD-00163,2024-11-29,CUS-0112,United Kingdom,Europe,Electronics,Phone,504.06,3,140.58,55.38,-3.44
ORD-00164,2024-05-23,CUS-0070,France,Europe,Fashion,Bag,129.8,5,-11.28,46.23,2.21
ORD-00165,2025-02-13,CUS-0260,Canada,North America,Fashion,Shirt,269.3,5,43.36,56.13,-106.35
ORD-00166,2023-01-21,CUS-0055,India,APAC,Fashion,Accessories,258.51,3,-19.04,20.59,78.96
ORD-00167,2023-04-12,CUS-0109,Vietnam,APAC,Fashion,Shoes,155.76,4,-11.19,14.06,108.28
ORD-00168,2024-01-19,CUS-0251,Brazil,LATAM,Groceries,Fresh Produce,35.28,3,7.36,-14.24,-51.93
ORD-00169,2023-08-19,CUS-0047,Japan,APAC,Home & Furniture,Storage,792.25,5,199.78,36.2,138.25
ORD-00170,2024-04-27,CUS-0035,United Kingdom,Europe,Home & Furniture,Table,870.55,5,189.53,55.38,-3.44
ORD-00171,2025-02-04,CUS-0090,France,Europe,Fashion,Shoes,274.04,4,21.78,46.23,2.21
ORD-00172,2025-06-06,CUS-0084,Singapore,APAC,Fashion,Shirt,77.16,2,1.73,1.35,103.82
ORD-00173,2023-02-16,CUS-0182,Singapore,APAC,Groceries,Beverage,106.6,5,14.88,1.35,103.82
ORD-00174,2024-10-26,CUS-0007,United States,North America,Home & Furniture,Lamp,1256.95,5,-96.14,37.09,-95.71
ORD-00175,2023-12-09,CUS-0376,Vietnam,APAC,Fashion,Shoes,61.92,1,-1.09,14.06,108.28
ORD-00176,2024-04-29,CUS-0161,South Africa,Africa,Home & Furniture,Chair,615.15,5,1.44,-30.56,22.94
ORD-00177,2024-02-08,CUS-0028,United States,North America,Home & Furniture,Lamp,148.04,2,29.44,37.09,-95.71
ORD-00178,2023-03-04,CUS-0057,South Africa,Africa,Home & Furniture,Table,351.76,4,21.17,-30.56,22.94
ORD-00179,2023-11-28,CUS-0099,France,Europe,Fashion,Bag,314.7,5,61.94,46.23,2.21
ORD-00180,2023-01-22,CUS-0116,France,Europe,Fashion,Shoes,59.23,1,-3.41,46.23,2.21
ORD-00181,2025-05-04,CUS-0387,Nigeria,Africa,Fashion,Accessories,274.29,3,-3.28,9.08,8.68
ORD-00182,2025-03-01,CUS-0268,Vietnam,APAC,Home & Furniture,Storage,464.22,2,-13.43,14.06,108.28
ORD-00183,2024-06-25,CUS-0268,Vietnam,APAC,Home & Furniture,Lamp,622.05,5,142.88,14.06,108.28
ORD-00184,2024-11-23,CUS-0176,Nigeria,Africa,Groceries,Snacks,16.22,1,1.43,9.08,8.68
ORD-00185,2023-03-10,CUS-0375,South Africa,Africa,Electronics,Phone,1832.68,4,409.99,-30.56,22.94
ORD-00186,2024-07-03,CUS-0154,Brazil,LATAM,Home & Furniture,Table,268.83,3,82.15,-14.24,-51.93
ORD-00187,2023-06-04,CUS-0364,Canada,North America,Fashion,Shirt,297.25,5,-14.62,56.13,-106.35
ORD-00188,2024-12-16,CUS-0218,France,Europe,Home & Furniture,Chair,223.03,1,62.15,46.23,2.21
ORD-00189,2024-05-24,CUS-0139,Germany,Europe,Home & Furniture,Lamp,109.47,1,21.33,51.17,10.45
ORD-00190,2023-08-09,CUS-0001,Germany,Europe,Fashion,Bag,338.76,4,98.93,51.17,10.45
ORD-00191,2023-01-01,CUS-0039,Brazil,LATAM,Electronics,Headphone,1558.35,3,-78.0,-14.24,-51.93
ORD-00192,2024-12-19,CUS-0376,Vietnam,APAC,Home & Furniture,Table,254.68,2,85.27,14.06,108.28
ORD-00193,2023-01-17,CUS-0150,United States,North America,Fashion,Shirt,67.61,1,2.51,37.09,-95.71
ORD-00194,2023-03-13,CUS-0375,South Africa,Africa,Electronics,Camera,383.91,3,-25.57,-30.56,22.94
ORD-00195,2023-06-21,CUS-0334,Japan,APAC,Home & Furniture,Chair,1263.2,5,350.12,36.2,138.25
ORD-00196,2023-07-17,CUS-0158,United Kingdom,Europe,Fashion,Bag,292.4,5,-16.89,55.38,-3.44
ORD-00197,2024-03-28,CUS-0393,United States,North America,Fashion,Bag,336.12,4,104.13,37.09,-95.71
ORD-00198,2024-06-20,CUS-0174,Nigeria,Africa,Groceries,Fresh Produce,99.36,4,20.31,9.08,8.68
ORD-00199,2024-07-31,CUS-0348,India,APAC,Fashion,Accessories,55.78,1,7.13,20.59,78.96
ORD-00200,2024-02-18,CUS-0087,Singapore,APAC,Home & Furniture,Table,195.3,3,-2.3,1.35,103.82
ORD-00201,2023-02-23,CUS-0291,France,Europe,Fashion,Shirt,350.19,3,97.97,46.23,2.21
ORD-00202,2025-06-13,CUS-0353,France,Europe,Home & Furniture,Lamp,103.25,1,27.69,46.23,2.21
ORD-00203,2025-07-22,CUS-0277,Mexico,LATAM,Groceries,Fresh Produce,107.3,5,34.15,23.63,-102.55
ORD-00204,2024-09-12,CUS-0045,India,APAC,Electronics,Camera,2189.6,4,590.18,20.59,78.96
ORD-00205,2025-05-25,CUS-0008,Germany,Europe,Electronics,Headphone,971.26,2,-47.09,51.17,10.45
ORD-00206,2023-03-12,CUS-0161,South Africa,Africa,Groceries,Dairy,27.3,2,5.48,-30.56,22.94
ORD-00207,2023-04-25,CUS-0105,Nigeria,Africa,Home & Furniture,Table,1211.24,4,-27.46,9.08,8.68
ORD-00208,2023-03-20,CUS-0155,Germany,Europe,Electronics,Laptop,1408.3,2,435.95,51.17,10.45
ORD-00209,2024-05-17,CUS-0062,United States,North America,Electronics,Headphone,694.43,1,26.28,37.09,-95.71
ORD-00210,2024-12-17,CUS-0122,Japan,APAC,Home & Furniture,Storage,61.89,3,10.03,36.2,138.25
ORD-00211,2024-02-22,CUS-0313,Mexico,LATAM,Home & Furniture,Storage,281.46,2,53.65,23.63,-102.55
ORD-00212,2024-05-29,CUS-0126,United States,North America,Groceries,Snacks,22.18,1,-1.17,37.09,-95.71
ORD-00213,2024-01-07,CUS-0113,France,Europe,Electronics,Laptop,448.6,2,18.37,46.23,2.21
ORD-00214,2024-07-28,CUS-0125,Mexico,LATAM,Groceries,Snacks,65.48,4,9.52,23.63,-102.55
ORD-00215,2024-06-01,CUS-0285,India,APAC,Electronics,Headphone,858.66,2,-20.82,20.59,78.96
ORD-00216,2023-02-26,CUS-0309,Vietnam,APAC,Groceries,Fresh Produce,39.04,4,0.23,14.06,108.28
ORD-00217,2024-02-22,CUS-0139,Germany,Europe,Groceries,Dairy,5.0,1,1.15,51.17,10.45
ORD-00218,2023-02-04,CUS-0338,Nigeria,Africa,Fashion,Shoes,71.92,1,15.82,9.08,8.68
ORD-00219,2025-02-14,CUS-0374,Vietnam,APAC,Groceries,Fresh Produce,66.44,4,7.31,14.06,108.28
ORD-00220,2024-03-18,CUS-0012,Mexico,LATAM,Home & Furniture,Chair,303.46,2,36.76,23.63,-102.55
ORD-00221,2024-08-14,CUS-0075,France,Europe,Electronics,Laptop,2364.12,4,621.68,46.23,2.21
ORD-00222,2025-04-23,CUS-0163,Japan,APAC,Fashion,Bag,261.63,3,10.56,36.2,138.25
ORD-00223,2024-11-17,CUS-0323,France,Europe,Groceries,Snacks,27.1,2,5.0,46.23,2.21
ORD-00224,2023-01-09,CUS-0277,Mexico,LATAM,Fashion,Accessories,141.45,3,32.82,23.63,-102.55
ORD-00225,2024-08-30,CUS-0025,Canada,North America,Electronics,Phone,477.75,1,107.69,56.13,-106.35
ORD-00226,2023-01-05,CUS-0384,Vietnam,APAC,Fashion,Shoes,85.64,2,22.06,14.06,108.28
ORD-00227,2025-03-25,CUS-0144,France,Europe,Home & Furniture,Storage,672.42,3,175.88,46.23,2.21
ORD-00228,2024-09-18,CUS-0120,Vietnam,APAC,Home & Furniture,Lamp,768.0,5,67.01,14.06,108.28
ORD-00229,2024-01-15,CUS-0281,Japan,APAC,Home & Furniture,Lamp,644.12,4,120.25,36.2,138.25
ORD-00230,2024-03-31,CUS-0370,Mexico,LATAM,Home & Furniture,Table,347.08,2,27.99,23.63,-102.55
ORD-00231,2024-10-24,CUS-0290,Singapore,APAC,Home & Furniture,Storage,301.84,2,33.24,1.35,103.82
ORD-00232,2023-10-07,CUS-0390,Japan,APAC,Electronics,Camera,1295.2,4,399.23,36.2,138.25
ORD-00233,2024-08-14,CUS-0307,Vietnam,APAC,Electronics,Headphone,766.96,2,118.18,14.06,108.28
ORD-00234,2024-09-05,CUS-0316,United Kingdom,Europe,Groceries,Snacks,15.53,1,-0.82,55.38,-3.44
ORD-00235,2024-02-05,CUS-0211,Mexico,LATAM,Fashion,Shirt,114.0,2,21.15,23.63,-102.55
ORD-00236,2024-05-23,CUS-0227,India,APAC,Fashion,Shirt,84.94,1,21.94,20.59,78.96
ORD-00237,2023-10-27,CUS-0343,Japan,APAC,Electronics,Phone,1022.68,4,-78.25,36.2,138.25
